frame.number,frame.time_epoch,ip.src,ip.dst,ip.hdr_len,tcp.hdr_len,udp.length,frame.protocols,frame.len,frame.cap_len,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.ece,tcp.flags.cwr,http,tls,dns,telnet,smtp,ssh,irc,tcp,udp,dhcp,arp,icmp,igmp,ip,llc
44,1721247532.463693000,192.168.29.55,192.168.29.218,20,20,,eth:ethertype:ip:tcp,270,270,False,False,False,True,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 80, Dst Port: 55856, Seq: 1, Ack: 149, Len: 215,,,,,,Internet Protocol Version 4, Src: 192.168.29.55, Dst: 192.168.29.218,
45,1721247532.463693000,192.168.29.55,192.168.29.218,20,20,,eth:ethertype:ip:tcp:http:data-text-lines,54,54,True,False,False,False,True,False,False,False,http,,,,,,,Transmission Control Protocol, Src Port: 80, Dst Port: 55856, Seq: 216, Ack: 149, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.29.55, Dst: 192.168.29.218,
46,1721247532.463773000,192.168.29.218,192.168.29.55,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 55856, Dst Port: 80, Seq: 149, Ack: 217, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.29.218, Dst: 192.168.29.55,
47,1721247532.464564000,192.168.29.218,192.168.29.55,20,20,,eth:ethertype:ip:tcp,54,54,True,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 55856, Dst Port: 80, Seq: 149, Ack: 217, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.29.218, Dst: 192.168.29.55,
48,1721247532.473255000,192.168.29.55,192.168.29.218,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 80, Dst Port: 55856, Seq: 217, Ack: 150, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.29.55, Dst: 192.168.29.218,
49,1721247533.657079000,192.168.29.218,192.168.29.55,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,False,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 55858, Dst Port: 80, Seq: 0, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.29.218, Dst: 192.168.29.55,
50,1721247533.707626000,192.168.29.55,192.168.29.218,20,24,,eth:ethertype:ip:tcp,58,58,False,True,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 80, Dst Port: 55858, Seq: 0, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.29.55, Dst: 192.168.29.218,
51,1721247533.707742000,192.168.29.218,192.168.29.55,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 55858, Dst Port: 80, Seq: 1, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.29.218, Dst: 192.168.29.55,
52,1721247533.707856000,192.168.29.218,192.168.29.55,20,20,,eth:ethertype:ip:tcp:http,202,202,False,False,False,True,True,False,False,False,http,,,,,,,Transmission Control Protocol, Src Port: 55858, Dst Port: 80, Seq: 1, Ack: 1, Len: 148,,,,,,Internet Protocol Version 4, Src: 192.168.29.218, Dst: 192.168.29.55,
53,1721247533.927144000,192.168.29.55,192.168.29.218,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 80, Dst Port: 55858, Seq: 1, Ack: 149, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.29.55, Dst: 192.168.29.218,
54,1721247533.927144000,192.168.29.55,192.168.29.218,20,20,,eth:ethertype:ip:tcp,270,270,False,False,False,True,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 80, Dst Port: 55858, Seq: 1, Ack: 149, Len: 215,,,,,,Internet Protocol Version 4, Src: 192.168.29.55, Dst: 192.168.29.218,
55,1721247533.927144000,192.168.29.55,192.168.29.218,20,20,,eth:ethertype:ip:tcp:http:data-text-lines,54,54,True,False,False,False,True,False,False,False,http,,,,,,,Transmission Control Protocol, Src Port: 80, Dst Port: 55858, Seq: 216, Ack: 149, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.29.55, Dst: 192.168.29.218,
56,1721247533.927297000,192.168.29.218,192.168.29.55,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 55858, Dst Port: 80, Seq: 149, Ack: 217, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.29.218, Dst: 192.168.29.55,
57,1721247533.928743000,192.168.29.218,192.168.29.55,20,20,,eth:ethertype:ip:tcp,54,54,True,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 55858, Dst Port: 80, Seq: 149, Ack: 217, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.29.218, Dst: 192.168.29.55,
58,1721247533.939323000,192.168.29.55,192.168.29.218,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 80, Dst Port: 55858, Seq: 217, Ack: 150, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.29.55, Dst: 192.168.29.218,
